tool,issues_count,file,line,code,message
black,130,src/flowscout/discovery/actions.py,0,,Reformatted file
black,130,src/flowscout/core/navigator.py,0,,Reformatted file
black,130,reports/2026/02.February/06-02-2026/12.58.21/tests.py,0,,Reformatted file
black,130,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,31,E501,Line 31 exceeds line length limit (Line too long (104 > 88))
black,130,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,59,E501,Line 59 exceeds line length limit (Line too long (104 > 88))
black,130,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,91,E501,Line 91 exceeds line length limit (Line too long (104 > 88))
black,130,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,115,E501,Line 115 exceeds line length limit (Line too long (104 > 88))
black,130,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,143,E501,Line 143 exceeds line length limit (Line too long (104 > 88))
black,130,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,175,E501,Line 175 exceeds line length limit (Line too long (104 > 88))
black,130,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,203,E501,Line 203 exceeds line length limit (Line too long (104 > 88))
black,130,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,235,E501,Line 235 exceeds line length limit (Line too long (104 > 88))
black,130,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,259,E501,Line 259 exceeds line length limit (Line too long (104 > 88))
black,130,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,287,E501,Line 287 exceeds line length limit (Line too long (104 > 88))
black,130,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,319,E501,Line 319 exceeds line length limit (Line too long (104 > 88))
