tool,issues_count,file,line,code,message
black,270,src/flowscout/analysis/verdict.py,0,,Would reformat file
black,270,src/flowscout/core/browser.py,0,,Would reformat file
black,270,src/flowscout/analysis/narrative.py,0,,Would reformat file
black,270,src/flowscout/analysis/graph.py,0,,Would reformat file
black,270,src/flowscout/codegen/playwright_tests.py,0,,Would reformat file
black,270,src/flowscout/discovery/inputs.py,0,,Would reformat file
black,270,src/flowscout/cli.py,0,,Would reformat file
black,270,src/flowscout/discovery/elements.py,0,,Would reformat file
black,270,tests/conftest.py,0,,Would reformat file
black,270,src/flowscout/core/navigator.py,0,,Would reformat file
black,270,src/flowscout/discovery/intent.py,0,,Would reformat file
black,270,tests/test_elements.py,0,,Would reformat file
black,270,src/flowscout/discovery/actions.py,0,,Would reformat file
black,270,src/flowscout/reporting/html.py,0,,Would reformat file
black,270,src/flowscout/reporting/terminal.py,0,,Would reformat file
black,270,tests/test_graph.py,0,,Would reformat file
black,270,src/flowscout/storage/db.py,0,,Would reformat file
black,270,tests/test_narrative.py,0,,Would reformat file
black,270,tests/test_verdict.py,0,,Would reformat file
black,270,reports/2026/02.February/06-02-2026/12.58.21/tests.py,0,,Would reformat file
black,270,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,31,E501,Line 31 exceeds line length limit (Line too long (127 > 88))
black,270,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,56,E501,Line 56 exceeds line length limit (Line too long (127 > 88))
black,270,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,85,E501,Line 85 exceeds line length limit (Line too long (127 > 88))
black,270,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,106,E501,Line 106 exceeds line length limit (Line too long (127 > 88))
black,270,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,131,E501,Line 131 exceeds line length limit (Line too long (127 > 88))
black,270,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,160,E501,Line 160 exceeds line length limit (Line too long (127 > 88))
black,270,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,185,E501,Line 185 exceeds line length limit (Line too long (127 > 88))
black,270,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,214,E501,Line 214 exceeds line length limit (Line too long (127 > 88))
black,270,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,235,E501,Line 235 exceeds line length limit (Line too long (127 > 88))
black,270,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,260,E501,Line 260 exceeds line length limit (Line too long (127 > 88))
black,270,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,289,E501,Line 289 exceeds line length limit (Line too long (127 > 88))
