tool,issues_count,file,line,code,message
markdownlint,277,.lintro/run-20260206-205206/report.md,117,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,118,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,119,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,120,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,121,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,121,MD033,Inline HTML [Element: string]
markdownlint,277,.lintro/run-20260206-205206/report.md,122,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,123,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,124,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,125,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,126,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,127,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,128,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,129,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,130,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,131,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,132,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,133,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,134,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,135,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,136,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,137,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,138,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,139,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,140,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,141,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,142,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,143,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,144,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,145,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,146,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,147,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,148,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,149,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,150,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,151,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,152,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,153,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,154,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,155,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,156,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,157,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,158,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,159,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,160,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,161,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,162,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,163,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,164,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,165,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,166,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,167,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,168,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,169,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,170,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,171,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,172,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,173,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,174,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,175,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,176,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,177,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,178,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,179,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,180,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,181,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,182,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,183,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,184,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,185,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,186,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,187,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,188,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,189,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,190,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,191,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,192,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,193,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,194,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,195,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,196,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,197,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,198,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,199,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,200,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,201,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,202,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,203,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,204,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,205,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,206,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,207,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,208,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,209,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,210,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,211,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,212,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,213,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,214,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,215,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,216,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,217,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,218,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,219,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,220,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,221,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,222,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,223,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,224,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,225,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,226,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,227,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,228,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,229,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,230,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,231,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,232,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,233,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,234,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,235,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,236,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,237,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,238,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,239,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,240,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,241,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,242,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,243,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,244,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,245,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,246,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,247,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,248,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,249,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,250,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,251,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,252,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,253,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,254,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,255,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,256,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,257,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,258,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,259,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,260,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,261,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,262,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,263,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,264,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,265,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,266,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,267,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,268,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,269,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,270,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,271,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,272,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,273,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,274,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,275,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,276,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,277,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,278,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,279,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,280,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,281,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,282,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,283,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,284,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,285,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,286,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,287,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,288,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,289,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,290,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,291,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,292,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,293,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,294,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,295,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,296,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,297,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,298,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,299,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,300,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,301,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,302,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,303,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,304,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,305,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,306,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,307,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,308,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,309,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,310,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,311,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,312,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,313,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,314,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,315,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,316,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,317,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,318,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,319,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,320,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,321,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,322,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,323,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,324,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,325,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,326,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,327,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,328,MD013,Line length
markdownlint,277,.lintro/run-20260206-205206/report.md,330,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,333,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,336,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,339,MD022,Headings should be surrounded by blank lines
markdownlint,277,README.md,22,MD032,Lists should be surrounded by blank lines
clippy,0,,,,
oxfmt,16,eslint.config.js,1,FORMAT,File is not formatted
oxfmt,16,src/App.tsx,1,FORMAT,File is not formatted
oxfmt,16,src/components/CommandBar.tsx,1,FORMAT,File is not formatted
oxfmt,16,src/components/JourneyDetailPanel.tsx,1,FORMAT,File is not formatted
oxfmt,16,src/components/JourneyList.tsx,1,FORMAT,File is not formatted
oxfmt,16,src/components/JourneyRow.tsx,1,FORMAT,File is not formatted
oxfmt,16,src/components/OutcomePanel.tsx,1,FORMAT,File is not formatted
oxfmt,16,src/components/PageReference.tsx,1,FORMAT,File is not formatted
oxfmt,16,src/components/StateGraph.tsx,1,FORMAT,File is not formatted
oxfmt,16,src/components/StatsSummary.tsx,1,FORMAT,File is not formatted
oxfmt,16,src/components/StepTimeline.tsx,1,FORMAT,File is not formatted
oxfmt,16,src/components/StepTimelineNode.tsx,1,FORMAT,File is not formatted
oxfmt,16,src/lib/flow-utils.ts,1,FORMAT,File is not formatted
oxfmt,16,src/main.tsx,1,FORMAT,File is not formatted
oxfmt,16,src/types.ts,1,FORMAT,File is not formatted
oxfmt,16,vite.config.ts,1,FORMAT,File is not formatted
prettier,4,.lintro/run-20260206-205206/report.html,1,FORMAT,Code style issues found
prettier,4,.lintro/run-20260206-205206/report.md,1,FORMAT,Code style issues found
prettier,4,README.md,1,FORMAT,Code style issues found
prettier,4,src/index.css,1,FORMAT,Code style issues found
actionlint,0,,,,
semgrep,0,,,,
astro-check,0,,,,
